post_id,creation_time,url,message,title,summary,attachments,content_text
1878099769511369,1774259400000,https://fb.com/groups/fbaio/permalink/1878099769511369/,"# MimiClaw - AI assistant(OpenClaw) đầu tiên chạy trên MỘT CON CHIP** **🤯\n\nKhông cần Mac mini\n\nKhông cần Hệ điều hành\n\nKhông cần Nodejs 👀\n\nViết hoàn toàn bằng C\n\nChỉ cần 1 con chip nhỏ **ESP32-S3** (5$), kết nối thẻ nhớ, wifi và nguồn 0.5Wat 🤖\n\nLà bạn đã có mọi chức năng giống OpenClaw, AI code cho 24/7, chỉ cần ngồi nhắn telegram nói chuyện với nó 😇\n\n#fbaio_share",,,"Photo:3164660847038827,Photo:3164648190373426",
1872772020044144,1774183327000,https://fb.com/groups/fbaio/permalink/1872772020044144/,Cho mình hỏi có cách nào khi bạn bè đăng bài nhận được thông báo nhanh không\nCủa fb nó không hiệu quả,,,,
1875760706411942,1774015526000,https://fb.com/sonpiaz.page/posts/pfbid02XeAM9AxLSfGxK3iUdAGiFeLVUbHGHtyzZ4mNwXzWq34qY15sJPXBo2cHwzijEsCzl,Vibe Coding đã là gì? Giờ thêm Vibe Designing 🐧\n\n@fbaio_share,,,"Photo:1339264818018880,Photo:1339264818018880",Cả nhà đã test Google Stitch chưa!
1872463840074962,1773636009000,https://fb.com/groups/fbaio/permalink/1872463840074962/,# Top repo nhiều stars nhất Github 👀\n\nAnh em đã xem/dùng được bao nhiêu rồi ? 😅\n\n#fbaio_share,,,Photo:3157327407772171,
1872428033411876,1773631658000,https://fb.com/groups/fbaio/permalink/1872428033411876/,"# Các công cụ DeObfucate - giải mã code xịn nhất 👀\n\nThân lắm mới share cho nhé 😎\n\nAe nếu gặp code nào bị làm rối / bị mã hoá / bị obfucate khó đọc, thì dùng những thằng này, đảm bảo giãi mã đc 99.99%\n\ncode javascript nha \n\n#fbaio_share",,,"Photo:3157282544443324,Photo:3157279811110264,Photo:3157281877776724,Photo:3157281387776773",
1871135130207833,1773480241000,https://fb.com/giapducthang20.10/posts/pfbid02M5iENcQE9aXzNcJqf4jUDxTqGV1qAq2cVU4Ngf9w19edUEBeCZBJyU6mfkCuooegl,"# Mỗi ngày 1 tool AI open source mới 🐧\n\nCon này đang khá hot đó anh em, 8k stars trên github \n\n#fbaio_share",,,"Photo:3422508214571341,Photo:3422508214571341","Alibaba vừa opensource con này mà mình thấy hay phết. Nói ngắn gọn: bạn nói tiếng người, nó thao tác trên web cho bạn. Không cần extension, không cần Python, không cần headless browser. Chỉ cần 1 dòng JavaScript.\n\nPage Agent là gì: nó là 1 thư viện JS mà bạn nhúng thẳng vào trang web. Sau đó bạn ra lệnh bằng ngôn ngữ tự nhiên kiểu ""Click vào nút đăng nhập"", ""Điền form với thông tin XYZ"", ""Chọn sản phẩm A rồi thêm vào giỏ hàng"" – nó tự thao tác trên giao diện web cho bạn luôn.\n\n-------\n\nTại sao nó khác các tool automation khác:\n\n1. Chạy ngay trên trang web\n\nĐa số các tool automation web hiện tại đều cần: cài extension, chạy Python script, dùng headless browser (Puppeteer, Playwright...), hoặc chụp screenshot rồi dùng AI nhận diện hình ảnh. Page Agent thì không. Nó chạy bằng JavaScript ngay trên trang web luôn. Nhúng 1 dòng script vào là xong.\n\n2. Không dùng screenshot, không cần OCR\n\nCái này quan trọng. Các browser agent khác như browser-use thì chụp ảnh màn hình rồi dùng AI nhận diện (multimodal). Cách đó tốn token, chậm, và đôi khi nhận diện sai. Page Agent thì đọc trực tiếp DOM (cấu trúc HTML) của trang web luôn. Nhanh hơn, chính xác hơn, rẻ hơn.\n\n3. Dùng được với bất kỳ LLM nào\n\nMặc định nó dùng Qwen của Alibaba nhưng bạn có thể đổi sang bất kỳ model nào: GPT, Claude, Gemini, model local... Miễn có API là chơi được.\n\n4. Có sẵn UI và human-in-the-loop\n\nNó có giao diện hiển thị ngay trên trang web cho bạn xem AI đang làm gì, bước nào đang chạy. Nếu AI ra quyết định sai thì bạn can thiệp được ngay. Không phải kiểu chạy ngầm rồi không biết nó làm cái gì.\n\n-------\n\nỨng dụng thực tế:\n\n- Build AI cho sản phẩm SaaS. Thay vì viết lại cả backend thì nhúng Page Agent vào frontend, vài dòng code là có con trợ lý AI biết thao tác trên giao diện cho user.\n\n- Điền form tự động. Mấy hệ thống ERP, CRM, admin mà form dài 20 bước thì giờ chỉ cần 1 câu là xong. Cái này doanh nghiệp nào dùng hệ thống quản lý phức tạp sẽ hiểu ngay giá trị.\n\n- Accessibility. Người dùng khuyết tật có thể điều khiển web bằng giọng nói hoặc ngôn ngữ tự nhiên.\n\n- Multi-page. Có extension Chrome để AI thao tác được trên nhiều tab cùng lúc.\n\n-------\n\nCài đặt thì đơn giản:\n\nCách nhanh nhất: nhúng 1 dòng script CDN vào trang web là test được luôn (có sẵn API test miễn phí).\n\n-------\n\nTại sao repo này đang trending:\n\n- Thứ nhất, nó của Alibaba. Ông lớn mở opensource thì community trust hơn, dùng yên tâm hơn so với project cá nhân.\n\n- Thứ hai, approach của nó khác biệt. Trong khi mọi người đang chạy theo hướng screenshot + multimodal thì Page Agent đi thẳng vào DOM. Nhẹ hơn, nhanh hơn, rẻ hơn. Dân technical đánh giá cao cái này.\n\n- Thứ ba, use case rõ ràng và gần gũi. Ai làm SaaS, ai có hệ thống admin phức tạp, ai cần tự động hóa thao tác trên web đều thấy ngay giá trị. Không phải kiểu demo hay nhưng không biết dùng vào đâu.\n\n- Thứ tư, barrier to entry cực thấp. 1 dòng code là test được. Không cần setup gì phức tạp. Developer nào cũng thử được ngay.\n\nCơ mà repo còn mới (gần 7k star, v1.5.6), nên chắc chắn sẽ còn nhiều thứ cần cải thiện. Dùng cho production thì cân nhắc kỹ, test kỹ trước nhé.\n\nPs: Nhúng 1 dòng JS vào web rồi nói ""điền form hộ tao"" mà nó làm được thật thì đúng là thời đại này bá đạo vch 🤣\n\nAI cần muốn test thì dưới cmt nhé."
1870276270293719,1773377135000,https://fb.com/groups/fbaio/permalink/1870276270293719/,"# Codex + 1 prompt = Web xịn xò quá ae 🤯\n\nNày là **UI xịn nhất** từ trước đến giờ, mà mình có thể làm đc với 1 prompt (đã test gemini, claude, qwen, ...) 🤖\n\nKhông chỉ đẹp, mà nó còn **chạy đc mọi chức năng** mà mình mong đợi :v không crash, ko lỗi ngay lần prompt đầu tiên 👀\n\nTạo mới **+3000 dòng code** chỉ với 1 prompt + plan mode 😇\n\nCon Codex này có phần **quản lý skills** riêng luôn, cài app là có mấy skills ngon để dùng rồi không cần cài thêm gì nhiều 🌟\n\nĐã vậy **limit còn cao** nữa, xài xả láng chưa thấy limit gì luôn, như claude dùng 3 prompt là hit limit rồi đó 🤣\n\nCó ae nào dùng chưa, share thêm kinh nghiệm với nào\n\n#fbaio_share",,,"Photo:3154437974727781,Photo:3154434618061450,Photo:3154443894727189,Photo:3154437648061147,Photo:3154437778061134",
1868822677105745,1773206032000,https://fb.com/groups/fbaio/permalink/1868822677105745/,"# Ơ ae lạ nhỉ, có ai ""ép"" ae đâu 🙃\n\nFB AIO cho ae rất nhiều options dùng thử VIP, ae dùng cái nào cũng ngon và phờ ri 👀\n\nKhông thích phờ ri thì ae mua luôn giá cũng rẻ bèo 🤣 Thế mà bảo ad ép là như nào 🥹\n\nAi còn review ""ép"" nữa là ad không nhận nha 🐧\n\n#fb_aio",,,"Photo:3152458511592394,Photo:3152458098259102",
1868195957168417,1773130903000,https://fb.com/groups/fbaio/permalink/1868195957168417/,# Có vẻ đã có người đục được **E2EE** của Messenger rồi 🐧\n\n#fbaio_share,,,Photo:25208532552156597,
1868157283838951,1773125658000,https://fb.com/groups/fbaio/permalink/1868157283838951/,# Mới: FB đã cho tạo/xem **Ghi chú** trên máy tính 👀\n\nCó thể thấy/xem ghi chú của người khác luôn 👀\n\nChuẩn bị cập nhật API cho FB AIO thôi nào 🤖\n\n#fb_aio,,,Photo:3151574191680826,
